listener_artist,chart_appearances,match_type,match_score,mbid,artist_mb,matched_name,Simplified_Genres
Taylor Swift,1611,exact_text,1.0,20244d07-534f-4eff-b4d4-930878889970,Taylor Swift,Taylor Swift,"Country, Pop"
Morgan Wallen,1031,exact_text,1.0,2077273e-eaa1-4f49-903c-f286ededecb9,Morgan Wallen,Morgan Wallen,Country
Madonna,857,exact_text,1.0,79239441-bfd5-4981-a70c-55c3f15c1287,Madonna,Madonna,"Electronic, Pop"
Kenny Chesney,783,exact_text,1.0,5dca4d22-d6c8-4e70-8ca1-4543e43353c7,Kenny Chesney,Kenny Chesney,Country
Tim McGraw,749,exact_text,1.0,7e5cfc9a-e9e1-46f1-b81a-861b12049488,Tim McGraw,Tim McGraw,"Country, Rock"
Keith Urban,674,exact_text,1.0,f45da029-7b00-4bf3-962c-0eeb20309cc4,Keith Urban,Keith Urban,Country
Stevie Wonder,659,exact_text,1.0,1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e,Stevie Wonder,Stevie Wonder,"Pop, R&B"
Rod Stewart,657,exact_text,1.0,a35237a0-4f47-40a6-b6f3-1e786db23402,Rod Stewart,Rod Stewart,"Country, Pop, R&B, Rock"
Mariah Carey,649,exact_text,1.0,494e8d09-f85b-4543-892f-a5096aed1cd4,Mariah Carey,Mariah Carey,"Hip-Hop, Pop, R&B"
Jason Aldean,633,exact_text,1.0,f24df11a-7e35-4979-a4db-a3b2a170ce27,Jason Aldean,Jason Aldean,Country
Michael Jackson,615,exact_text,1.0,f27ec8db-af05-4f36-916e-3d57f91ecf5e,Michael Jackson,Michael Jackson,"Pop, R&B"
Rascal Flatts,604,exact_text,1.0,6e0ae159-8449-4262-bba5-18ec87fa529f,Rascal Flatts,Rascal Flatts,Country
Rihanna,592,exact_text,1.0,73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,Rihanna,"Pop, R&B"
Billy Joel,589,exact_text,1.0,64b94289-9474-4d43-8c93-918ccc1920d1,Billy Joel,Billy Joel,"Pop, Rock"
The Beatles,587,exact_text,1.0,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,The Beatles,The Beatles,"Pop, Rock"
P!nk,570,exact_text,1.0,f4d5cc07-3bc9-4836-9b15-88a08359bc63,P!nk,P!nk,"Pop, R&B"
Aretha Franklin,569,exact_text,1.0,2f9ecbed-27be-40e6-abca-6de49d50299e,Aretha Franklin,Aretha Franklin,"Pop, R&B"
Whitney Houston,561,exact_text,1.0,0307edfc-437c-4b48-8700-80680e66a228,Whitney Houston,Whitney Houston,"Electronic, Pop, R&B"
Carrie Underwood,561,exact_text,1.0,70f0e309-5418-49b6-a130-666e2f76eecd,Carrie Underwood,Carrie Underwood,"Country, R&B"
Brad Paisley,559,exact_text,1.0,6cfd7ffc-824f-4219-8e27-4b9417700f44,Brad Paisley,Brad Paisley,Country
Neil Diamond,553,exact_text,1.0,a42d3fd5-55de-4206-86c3-4fbb5404018f,Neil Diamond,Neil Diamond,"Pop, Rock"
George Strait,553,exact_text,1.0,5ab2cf34-517e-48eb-b3a5-34e1cbcd600a,George Strait,George Strait,Country
The Weeknd,536,exact_text,1.0,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,The Weeknd,The Weeknd,"Pop, R&B"
